Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-10-22,Scooby-Doo 2: Monsters Unleashed,2004,https://boxd.it/52foRr,5,Yes,,2023-10-21
2023-10-23,The Witch,2015,https://boxd.it/52EwBV,3.5,Yes,,2023-10-22
2023-10-23,Hotel Transylvania,2012,https://boxd.it/52ExgT,2.5,Yes,,2023-10-22
2023-10-25,Corpse Bride,2005,https://boxd.it/533ZGF,5,Yes,,2023-10-23
2023-10-25,When Evil Lurks,2023,https://boxd.it/537zjN,3.5,,,2023-10-24
2023-10-25,Practical Magic,1998,https://boxd.it/53eL9f,3.5,Yes,,2023-10-24
2023-10-26,Monster House,2006,https://boxd.it/53wsVb,4,Yes,,2023-10-25
2023-10-27,Halloween Kills,2021,https://boxd.it/53Q35J,3,Yes,,2023-10-26
2023-10-27,The Haunting,1963,https://boxd.it/53Rxmn,5,Yes,,2023-10-26
2023-10-28,Halloween Ends,2022,https://boxd.it/544ua5,2,Yes,,2023-10-27
2023-10-28,Ghostbusters,1984,https://boxd.it/54cRX1,3.5,Yes,,2023-10-27
2023-10-29,Nosferatu,1922,https://boxd.it/54Bcrj,5,Yes,,2023-10-28
2023-11-02,Trick 'r Treat,2007,https://boxd.it/55RW7b,3.5,Yes,,2023-10-30
2023-11-02,Frankenstein,1931,https://boxd.it/55RVDv,5,Yes,,2023-10-31
2023-11-02,Michael Jackson's Thriller,1983,https://boxd.it/55RWsD,5,Yes,,2023-10-31
2023-11-03,The Bling Ring,2013,https://boxd.it/56lX8J,3,,,2023-11-01
2023-11-05,Priscilla,2023,https://boxd.it/56Yb6D,3.5,,,2023-11-04
2023-11-12,The Killer,2023,https://boxd.it/596m4x,4,,,2023-11-11
2023-11-12,The Nightmare Before Christmas,1993,https://boxd.it/59idYv,2,Yes,,2023-11-11
2023-11-13,Fight Club,1999,https://boxd.it/59zDZN,4,Yes,,2023-11-12
2023-11-18,Fair Play,2023,https://boxd.it/5b8Sf5,4,,,2023-11-17
2023-11-21,Thanksgiving,2023,https://boxd.it/5bZvpx,3.5,,,2023-11-18
2023-11-23,Napoleon,2023,https://boxd.it/5cD5Jh,4,,,2023-11-21
2023-11-24,Miracle on 34th Street,1994,https://boxd.it/5d7VNv,3,Yes,,2023-11-23
2023-11-26,The Hurt Locker,2008,https://boxd.it/5dD7AP,4,,,2023-11-24
2023-11-26,The Killing of a Sacred Deer,2017,https://boxd.it/5dLfph,3,,,2023-11-25
2023-11-28,Carol,2015,https://boxd.it/5euRCD,3,,,2023-11-26
2023-11-29,Saltburn,2023,https://boxd.it/5f0gKf,3,,,2023-11-28
2023-12-09,Love Actually,2003,https://boxd.it/5iepzv,5,Yes,,2023-12-08
2023-12-11,Dream Scenario,2023,https://boxd.it/5iSjKn,3.5,,,2023-12-10
